label,cv_r2_mean,cv_r2_std,train_r2,test_r2,test_mae,test_spearman,test_hit_rate_top20,train_test_gap
v1 (총매출 x 10피처),0.1883579244608105,0.028149173105899775,0.24848582417517617,0.10607113886696062,0.8046140121216668,0.26752630100784447,0.4642857142857143,0.14241468530821555
v2 (점포당매출 x 12피처),0.10326691937466068,0.1009004451809276,0.3627563595180425,0.018268183665701265,0.685331089927543,0.24177530590476354,0.2857142857142857,0.34448817585234126
