,importance
competitor_cnt_100m,564.006059885025
food_cnt_300m,492.6361434459686
bus_stop_cnt_300m,404.6064705848694
주간_평일_평균인구,383.3403289318085
subway_monthly_traffic,381.51316118240356
subway_dist_m,353.22365856170654
competitor_cnt_500m,195.52508985996246
야간_평일_평균인구,170.9632499217987
야간_주말_평균인구,122.28229022026062
competitor_cnt_300m,107.70220065116882
edu_cnt_300m,105.32286190986633
주간_주말_평균인구,80.1881502866745
