label,n,n_features,cv_r2_mean,cv_r2_std,train_r2,test_r2,test_mae,test_spearman,test_hit_rate_top20,train_test_gap
v1  총매출 x 10피처(기준),712,10,0.1883579244608105,0.028149173105899775,0.24848582417517617,0.10607113886696062,0.8046140121216668,0.26752630100784447,0.4642857142857143,0.14241468530821555
v2  점포당매출 x 12피처(타깃+피처 동시변경),708,12,0.10326691937466068,0.1009004451809276,0.3627563595180425,0.018268183665701265,0.685331089927543,0.24177530590476354,0.2857142857142857,0.34448817585234126
v3a 총매출 x 12피처(피처 효과만),708,12,0.2030237740868523,0.09263390251244988,0.5365433028915758,0.018080058926025377,0.824306586350882,0.3119065531411951,0.4642857142857143,0.5184632439655504
v3b 점포당매출(점포4+) x 10피처(타깃 효과만),552,10,0.059893000987344694,0.026552240887700154,0.3838144866754928,0.020170502513180977,0.6107489288208947,0.31147771147771147,0.36363636363636365,0.3636439841623118
