상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log,편의점_점포수,점포당_평균매출,점포당_평균매출_log,competitor_cnt_100m,competitor_cnt_300m,competitor_cnt_500m,subway_dist_m,subway_monthly_traffic,bus_stop_cnt_300m,주간_평일_평균인구,주간_주말_평균인구,야간_평일_평균인구,야간_주말_평균인구,food_cnt_300m,edu_cnt_300m
3001491,이태원 관광특구,5327001941.5,845856.75,4,22.39605442953298,17,313353055.38235295,19.56284108848033,1.1187409757561722,8.117516106063418,17.672116920484175,279.77216882434294,692078.885392457,6.404432276735512,252.14744079356967,238.7220017976752,175.0238241018245,279.0203108926427,335.2557518904457,16.578980313673856
3001492,명동 남대문 북창동 다동 무교동 관광특구,17513841279.25,2446175.75,4,23.58625733555533,76,230445279.9901316,19.255523999551336,2.541596662511953,22.180616020112748,59.02646171618927,241.99723035144075,2725175.573738044,12.795575748370815,914.8513432673574,492.231675827516,129.8362442176968,118.32664084436003,399.5522944603024,31.55609001199491
3001493,동대문패션타운 관광특구,5215787363.25,667359.75,4,22.37495589468344,27,193177309.75,19.07911903366397,1.4708737208120501,13.058375917524176,36.477966879512685,223.86797459655054,2000928.1787357326,8.74214303420289,498.8522510594589,381.22819040476116,298.1462512503068,187.96320479576394,215.6613556863313,9.539859377984175
3001494,종로·청계 관광특구,4882004313.25,723317.75,4,22.30882169262224,40,122050107.83125,18.619942246496823,1.9642389227819743,16.158335869098686,42.11342647700843,199.86486457621953,2138742.6670636116,11.84223645042059,694.2959698436157,436.09507044858793,187.1065133721594,176.54050035593892,360.22230843584276,46.04363046543073
3001495,잠실 관광특구,13463960241.25,1869892.0,4,23.323282340937656,48,280499171.6927083,19.452081333520567,0.6019144058824452,5.120662058478779,15.044003277579673,441.50112066362163,2093347.6834421153,3.708336847035098,288.82440940823903,368.1450182210163,127.13253540788652,136.64441447929477,81.21015723093042,13.778726262028496
3001496,강남 마이스 관광특구,5855352384.0,405939.25,4,22.49062201749673,8,731919048.0,20.41118047701238,1.328708706539308,13.132916902467992,34.59749451710081,258.04122566841363,2229296.7991794194,8.356683316161229,949.4146334040495,792.8781532999253,101.85579923412229,98.59808447297102,249.60807906552654,34.29488808373929
3110003,세검정초등학교,202145361.75,27703.0,4,19.12449761413916,3,67381787.25,18.02588533536492,0.3644614956492942,2.9552399777303613,6.782318646228105,2043.3200757772813,977189.2995228508,15.221802734963365,93.1301318359466,94.51297278101323,121.93326570412813,118.97980465863041,26.98676166146995,16.41542078116189
3110012,성곡미술관,259077851.0,40039.0,4,19.37263916136921,1,259077851.0,19.37263916136921,0.28342179872518897,3.5481517181650473,14.43095355523586,480.4676695063622,1659497.8545842513,5.503678830346535,333.7057914568611,257.3381073734593,187.22699565867478,179.17470814992487,192.80957299037982,30.884618446394292
3110020,서울국제고등학교,192223845.5,36378.0,4,19.074171118084177,5,38444769.1,17.46473322645915,1.1100749230486293,6.4446523496910935,13.660964840485187,939.4457829136019,1557010.3946802048,12.322239048522182,218.89081180231415,221.29899891342873,315.0080717623006,297.6702531190668,67.28970763532622,14.520129677203112
3110021,성균관대학교,367992005.5,60500.0,2,19.7235717744299,2,183996002.75,19.030424596587405,1.085370478958648,8.291329186121388,21.421228774231906,535.7755859791264,2248178.999999999,8.487315933011958,414.0884506273112,470.2577794701717,435.2527459996954,425.4679574959795,214.88698469512204,25.759635150509094
3110028,이화달팽이길,2896545033.25,420599.75,4,21.78678449619641,4,724136258.3125,20.400490136112243,0.4801839329739973,4.6088977749343245,16.88016937281261,576.735172416153,2009758.156867594,4.032897472198929,267.14044545221185,248.69890366284838,345.81853676339665,324.0607962995864,78.14185316182724,20.441272872626296
3110037,신설동역 12번,382237793.75,57702.0,4,19.761553472244053,2,191118896.875,19.06840629430028,0.8914155879824431,10.151406004725581,34.23380795434253,241.32092522544949,1252961.0,5.336531830488573,300.21316805426073,300.94520790854625,376.51937092480745,368.65701412825223,153.17115108404437,24.948103548172213
3110038,경향신문사,473093516.0,60850.0,4,19.9748036372735,3,157697838.66666666,18.876191352832883,1.904527490274919,12.676240435724559,26.941692160299404,241.25587646363107,1072740.0,13.02851174098961,433.40825614459,175.59781379045475,61.56190730080991,47.04101688320653,145.76316097258845,15.711724571678378
3110041,남산케이블카,99592688.75,15523.0,4,18.416599323776865,4,24898172.1875,17.030304992779666,0.41855217248476284,4.924358442006109,17.03466005953371,508.57570132385325,2191746.03284476,2.954093095228795,160.25732690398164,112.20697153761805,51.35540172499103,54.56548614222669,73.99342009166416,6.4538700301058745
3110043,충무초등학교,583154691.5,83248.75,4,20.183963047883672,6,97192448.58333331,18.39220358722967,1.5343385659307778,14.740979576482962,38.58904293895407,404.7021814321029,1166369.4682437982,4.2681926262268295,291.5653784544686,194.86623400584318,190.18488118571565,179.6971445876626,123.16347360047811,22.571263166518538
3110053,청구역 1번,726547589.0,96318.5,4,20.403814544679165,7,103792512.71428572,18.457904403882083,2.5674614087566385,14.22038247133302,36.74876900844626,203.85161497471603,446163.7549346286,3.726946107359475,225.278119903838,193.4581025347508,227.86609284969626,226.54079343797903,146.72041638265833,14.23889548081151
3110054,청구역 3번,324632608.0,47914.75,4,19.598204667025588,3,108210869.33333331,18.49959238451829,0.950312155773741,8.126114825129354,21.8849857103524,296.2883065692095,775625.8695180155,4.492081425850995,309.0133639332753,254.76810487946437,279.4915557245991,273.3473198548751,146.4675562884225,49.347317045145665
