기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20254,D,발달상권,3120097,충정로역,CS300002,편의점,301992344,49074,240269289,61723055,43991900,49729039,54449014,42657521,49441815,34445313,27277742,20162247,68430920,56163295,45153962,78062566,34019354,186813185,104546057,647894,41182212,83747559,77116300,60719419,27945856,40101,8973,7649,8194,8890,7524,7844,4874,4099,3004,12336,10182,7402,11321,4829,31052,17320,114,7814,14206,11584,9823,4830
20254,D,발달상권,3120098,DMC(디지털미디어시티),CS300002,편의점,4449843558,627658,3688148806,761694752,708468185,740808861,793136140,732251449,713484171,440077074,321617678,228303371,880226121,984738027,876146330,1100359932,380069777,2238404528,1667975698,27494992,828527458,1366527749,920089566,610001972,153738485,528569,99089,103124,106947,113797,106275,98426,57793,41296,32268,154729,144137,114658,134727,47139,361277,232550,6237,137889,214753,128784,83375,22784
20254,D,발달상권,3120099,월드컵경기장역(월드컵경기장),CS300002,편의점,231000000,12000,155981222,75018778,28439438,36549194,30956731,29761836,30274023,46418765,28600013,0,5052731,50455958,76805020,85908492,12777799,75804803,155195197,1777100,30136514,48612451,54436388,48346123,47691424,8113,3887,1380,1774,1500,1538,1921,2493,1394,0,276,2634,3841,4588,661,3957,8043,140,1740,2719,2815,2315,2271
20254,D,발달상권,3120100,망원역,CS300002,편의점,1361446283,144821,943918323,417527960,177648279,174616410,212753119,184879411,194021104,233061907,184466053,64263891,123410045,215231413,278635181,464182829,215722924,553524214,807922069,20531311,407828041,404213996,221867617,188902674,118102644,102598,42223,18324,18474,23703,21020,21077,23286,18937,9926,20041,21851,25437,43819,23747,70471,74350,1914,45564,43328,24096,17290,12629
20254,D,발달상권,3120101,합정역,CS300002,편의점,3479681749,474680,2514754200,964927549,439928824,480981897,539963386,483989843,569890250,573637282,391290267,143016044,555770085,570186101,648305689,1093496009,468907821,1640019828,1716321514,38458106,849387116,1072591170,606900756,512004813,276999384,350176,124504,61967,66908,75988,69187,76126,73005,51499,23424,107797,75392,78044,127692,62331,245015,223672,6245,129957,153204,83221,64268,31790
20254,D,발달상권,3120102,서교동(홍대),CS300002,편의점,1532486317,249096,1181171510,351314807,223126694,226306816,260380473,233063150,238294377,199698840,151615967,137836664,271638772,281388164,240422224,384250859,216949634,914602784,561961121,24325017,359118258,439770924,287979886,247565851,117803971,193516,55580,36588,36854,41364,39522,39188,30624,24956,18466,50271,49985,38318,61524,30532,142250,102148,6252,70352,72468,42134,35234,17959
20254,D,발달상권,3120103,홍대입구역(홍대),CS300002,편의점,9048809212,852270,5954809754,3093999458,1044029551,1064861197,1271248560,1208602644,1366067802,1719845946,1374153512,913401095,523326808,1141985062,1890141444,3058846957,1521107846,3512628040,5473665302,501412456,4361179913,1972678664,903091310,988588415,259342584,556250,296020,96220,98958,119605,113515,127952,161001,135019,155031,82376,111899,135326,227340,140298,409919,437965,48749,434755,182220,76967,82866,22327
20254,D,발달상권,3120104,연남동(홍대),CS300002,편의점,4505744983,495178,3110542250,1395202733,553667006,604032942,652951324,638045422,661845556,765700889,629501844,220093031,427057395,683082444,896246209,1543429916,735835988,1834951451,2585460315,114074162,1667520544,1209117922,629867824,565770026,234061290,348863,146315,63405,67547,74877,69306,73728,81284,65031,29602,71528,84557,91457,148539,69495,232601,254253,13965,171300,139719,68520,63536,29810
20254,D,발달상권,3120105,상수역(홍대),CS300002,편의점,947897990,169072,672421517,275476473,116921843,129884145,136925594,140982261,147707674,156861950,118614523,187541057,133135136,102175066,118079618,225875004,181092109,582684319,361723555,65493221,476314654,198724808,96402782,83866059,23606351,123012,46060,21874,23343,25972,25199,26624,25955,20105,28959,26842,22871,23021,38756,28623,97375,71450,14482,93987,29553,12374,13831,4598
20254,D,발달상권,3120106,마포역,CS300002,편의점,968738136,154297,747018201,221719935,145452101,145678467,161321424,143947650,150618559,128207743,93512192,49586268,189892473,131724931,141353205,275884659,180296600,578869647,378296064,4869418,125068983,268176882,239990298,196318112,122742020,120625,33672,23543,23725,25249,22873,25235,18986,14686,6103,38660,22385,22633,39889,24627,91523,61781,1255,25133,46131,33524,28149,19110
