상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log
3111083,GS강동자이아파트,301005962.0,40057.0,1,19.52264063314815
3111085,묘곡초등학교(고덕아이파크아파트),1037152646.25,141154.0,4,20.759744956180494
3111086,한영중고,252620787.25,35999.25,4,19.3474000616045
3111087,고덕중학교(고덕2동주민센터),237607104.75,34766.75,4,19.286129051360795
3111088,고덕동성당,576007583.0,79986.25,4,20.17163138524015
3111089,상일여고(상일초등학교),496148178.0,67272.5,4,20.02238518805678
3120001,서대문역,304024165.5,48939.0,4,19.53261775127672
3120002,서촌(경복궁역),831994525.0,131833.25,4,20.539336419436914
3120003,광화문역,3109431719.75,580260.0,4,21.8577058199941
3120004,종로구청,783319338.0,127810.0,4,20.4790510111684
3120005,삼청동,412024043.5,91187.75,4,19.83659226604779
3120006,종각역,3200863060.75,460457.75,4,21.886686317184626
3120007,북촌(안국역),365211159.0,62413.5,4,19.715986264816213
3120008,인사동,1708590442.0,262385.5,4,21.258934565197812
3120009,종로3가역,4504911994.25,697449.25,4,22.228434192910242
3120010,원남동사거리,234221502.0,33574.5,4,19.271777819601482
3120011,종로4가,712900995.0,120382.0,4,20.384853113197273
3120012,대학로(혜화역),2109966945.25,263201.0,4,21.469938119027326
3120013,이화사거리,1053297676.25,145176.25,4,20.775191724592148
3120014,종로5가역,1172975694.5,193678.5,4,20.88280968645424
3120015,종로6가,431928449.5,68824.75,4,19.88377050864865
3120016,동대문역,762537780.25,118218.5,4,20.45216261439865
3120017,동묘앞역(동묘),1433464299.0,87543.0,4,21.083359938896667
3120018,중림동,787558739.0,115508.5,4,20.484448516358523
3120019,경찰청앞교차로,1074935180.0,188264.25,4,20.79552619996393
3120020,시청역_1번,564342516.0,85527.0,1,20.15117192477592
3120021,시청역_8번,801982959.5,143930.75,4,20.50259791934573
3120022,북창동(시청역_6번),2396881357.5,298035.25,4,21.597434295345582
3120023,서울시청,4947536534.25,775311.5,4,22.322155620001904
3120024,회현역,1835570939.25,302861.25,4,21.33062140916003
3120025,롯데백화점(시청광장 지하쇼핑센터),54000000.0,12293.25,4,17.804494623047066
3120026,을지로입구역,2578469002.5,472795.25,4,21.670461650246715
3120027,명동역(명동재미로),1076926194.25,157628.25,4,20.797376704685227
3120028,명동(명동거리),5508268969.5,625032.0,4,22.429516249318436
3120029,을지로2가,1080848340.25,45335.25,4,20.80101207089537
3120030,중부경찰서(영화인의거리),569126984.25,100800.75,4,20.159614139862644
3120031,을지로3가역,4278258547.0,793097.75,4,22.176811882433046
3120032,충무로역,2537898722.75,421093.75,4,21.654602301482612
3120033,을지로4가역,904094737.5,146714.5,4,20.62244471209106
3120034,중구청(퇴계로4가),271160468.25,39255.0,4,19.418221341053645
3120035,퇴계로5가,1153470672.75,158710.0,4,20.86604121154445
3120037,동대문역사문화공원역,5906123263.5,862314.75,4,22.49925549111367
3120038,약수역,1908709729.5,265979.75,4,21.36969331695957
3120039,신당역,2918555283.0,346618.25,4,21.794354565036215
3120040,용산전자상가(용산역),2149101365.75,309074.0,4,21.488315622759124
3120041,신용산역(용산역),1347114935.75,214573.75,4,21.02123105868542
3120042,"숙대입구역(남영역, 남영동)",433683373.5,43198.0,4,19.88782527396891
3120043,서울역,5769179412.5,877997.75,4,22.475795691321565
3120044,삼각지역,168528168.0,24529.0,4,18.942613468858678
3120045,남영동 먹자골목,564702227.5,85717.75,4,20.15180912097847
3120046,이태원(이태원역),5762734067.75,911339.5,4,22.47467786375009
3120047,한남오거리,854076294.5,116806.25,4,20.56553108675533
3120048,금호역,462639965.25,62147.0,4,19.952459698863343
