기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,11140670,황학동,CS300002,편의점,1002323133,131796,735228876,267094257,141918545,131567923,146121572,148889323,166731513,130953325,136140932,162393922,144109617,139435365,132682528,228386900,195314801,614085492,388237641,2081527,121099521,298340504,318634175,159690785,102476621,94997,36799,18554,17723,19049,19798,19873,18201,18598,17732,22920,19523,18187,29541,23893,81031,50765,460,19698,40118,36718,20970,13832
20251,11140680,중림동,CS300002,편의점,664887049,105743,504551208,160335841,96706056,91156063,98712089,102440198,115536802,92451229,67884612,35097227,126346237,119611459,104270471,166785100,112776555,444403007,201494302,4047947,76994574,212300492,160550397,124776386,67227514,81367,24376,15796,15107,16051,16366,18047,13616,10760,4871,24389,20615,16605,25634,13629,70249,33539,947,14124,34964,23709,19550,10494
20251,11170510,후암동,CS300002,편의점,1047727817,163611,741640456,306087361,151299210,141929742,146734631,134547214,167129659,162906236,143181125,91808993,157824833,154178300,148974271,317851146,177090274,667544711,367071082,37334964,141625391,287100989,195642237,228322589,144589623,118019,45592,25193,22484,22935,22652,24755,23800,21792,11170,29047,26500,26175,47808,22911,106008,56706,14308,23304,42411,29716,33759,19216
20251,11170520,용산2가동,CS300002,편의점,1240383982,183911,809383892,431000090,158440529,143980675,169269252,156914392,180779044,223817036,207183054,197447987,122957991,129231592,201987121,325595096,263164195,798732838,434766001,7249202,294385368,456281953,237153620,127607847,110820849,116197,67714,22902,20416,24296,22817,25766,35518,32196,24462,20557,24767,34452,46574,33099,115219,68441,1923,49709,64565,31941,20901,14620
20251,11170530,남영동,CS300002,편의점,2170965488,173519,1664965772,505999716,308807868,298358411,334380360,348633362,374785771,293537050,212462666,101092147,268462416,443249628,445018896,665847785,247294616,968936484,927815021,9698238,369043265,587439970,472964679,341574031,116031323,133080,40439,25516,24368,26336,26664,30196,23088,17351,11706,33945,29800,25407,47573,25088,104190,66325,1357,38982,55822,32063,30079,12208
20251,11170555,청파동,CS300002,편의점,2671865682,397793,1937122687,734742995,364900283,355659120,398744662,378549344,439269278,369833130,364909865,257831085,429255775,390218447,330140293,722876945,541543137,1683918523,977289222,35229697,534127301,790544416,480035758,563436754,257833818,291471,106322,56803,53570,58244,59324,63530,54272,52050,30189,79491,61967,53323,103319,69504,233381,163359,10086,93677,118315,69086,65121,40455
20251,11170560,원효로1동,CS300002,편의점,1522685292,206979,1148142402,374542890,229302415,210590076,220538676,230934273,256776962,194919487,179623403,109461203,253029724,249482233,206716781,418703045,285292306,1083607825,367556655,4745739,176328371,495997413,366279408,261696082,146117467,160784,46195,32182,29582,30897,32656,35467,24020,22175,12875,40675,38251,29802,52455,32921,146818,53895,1346,27339,72118,46266,36680,16959
20251,11170570,원효로2동,CS300002,편의점,1498170496,199467,1152013836,346156660,218124745,205465947,213310025,236911379,278201740,186704073,159452587,140286049,269943947,286602801,185570798,348034096,267732805,898083556,470871733,10674690,151047043,416809328,344349361,264211795,181863071,155871,43596,30665,28568,29777,32003,34858,22866,20730,14884,42608,39571,25974,44939,31491,123215,66835,2237,25767,60238,43593,33818,24399
20251,11170580,효창동,CS300002,편의점,95827361,13303,65726106,30101255,13611097,10842357,12098299,13858037,15316316,16413561,13687694,11886042,14676155,11531983,15889735,22692308,19151138,65969317,27498395,1624229,13261132,20374670,20959136,21381733,15866811,9605,3698,2048,1562,1869,1990,2136,2073,1625,1388,2323,1850,2284,3263,2195,8028,5038,521,2273,2836,2747,2736,1952
20251,11170590,용문동,CS300002,편의점,515379862,73461,366931370,148448492,70037089,65302214,80305096,71498825,79788146,78100068,70348424,63800980,74263457,66334116,68134335,134827069,108019905,332718907,177779635,4729696,82934691,157626221,119977342,87517435,57713157,52846,20615,10223,9453,11129,10551,11490,10770,9845,7962,12773,9776,10183,18792,13975,47116,25910,1333,13243,24127,14577,11817,7928
20251,11170625,한강로동,CS300002,편의점,2669637423,409193,2001731719,667905704,396006440,359901823,384335558,404993984,456493914,345352291,322553413,191615954,478437973,448660444,408551773,715598258,426773021,1736294315,829840915,5857952,377317598,977238626,615679706,381671496,208369854,315054,94139,61919,57812,61215,64578,69530,49053,45086,27368,85131,76156,64611,99950,55977,265954,134382,1462,71331,160084,83776,57455,26233
20251,11170630,이촌1동,CS300002,편의점,478651889,64496,338264976,140386913,76387484,60599532,57838353,63932065,79507542,76929756,63457157,35623855,63862244,62819867,86242022,141751090,88352811,279785814,196386111,19616955,41192122,95524588,120286849,95122554,104428859,47059,17437,10348,8333,8780,9028,10570,9331,8106,4922,9641,9220,12310,17679,10724,34982,29228,6242,8044,13445,13347,12453,10680
20251,11170640,이촌2동,CS300002,편의점,234559250,28755,169960043,64599207,36600370,27172482,32371043,32749398,41066750,34696760,29902447,22939425,28580250,24995596,34708452,70649515,52686012,169495954,65063296,1281807,22574427,68065191,69872139,45495135,27270551,20893,7862,4154,3844,3994,4447,4454,4153,3709,2776,4497,3980,3859,7933,5710,20375,8380,315,2993,8544,8169,5269,3465
20251,11170650,이태원1동,CS300002,편의점,4771367237,687510,2903484685,1867882552,563158603,483535066,564023354,574433705,718333957,977824248,890058304,1284977109,598608460,416588657,585529158,902079695,983584158,3241343482,1464867372,24006252,1215863549,1666845013,694514426,579697659,525283954,401062,286448,77128,66302,80634,77228,99770,151983,134465,199268,91289,62508,73634,124642,136169,484718,198080,5520,203693,257969,92621,71944,51052
20251,11170660,이태원2동,CS300002,편의점,1489539786,177757,1044656726,444883060,194860197,199296850,217204395,205958946,227336338,232870203,212012857,211099614,157201164,161889231,203840901,412218266,343290610,924611239,537175051,7642984,233787543,493044529,355681544,249349883,122279806,125193,52564,24181,22929,25636,25041,27406,27384,25180,23972,23613,21917,26704,45602,35949,106481,69320,1695,35777,60258,35694,27263,15112
20251,11170685,한남동,CS300002,편의점,2801833197,432160,1968990331,832842866,359763387,337703013,391522941,400888796,479112194,445246889,387595977,308888140,482979269,526046085,474094576,621184642,388640485,1681537445,984648660,8282483,563724721,961923241,509355504,380230341,242669816,303225,128935,57840,53452,60238,61070,70625,71256,57679,41061,84025,90190,77136,92486,47262,252975,168426,1849,108266,150923,68342,55858,36162
20251,11170690,서빙고동,CS300002,편의점,493832169,59495,358225518,135606651,70958670,68211366,69055203,75937993,74062286,71929192,63677459,49340032,74607020,65375133,69718824,142050287,92740873,351689425,142142744,5334249,32321918,134896369,145635714,114216650,61427269,43674,15821,8919,7955,8581,9261,8958,8004,7817,5430,9859,8998,8698,16323,10187,42300,17195,1197,5007,16710,17085,12098,7398
20251,11170700,보광동,CS300002,편의점,257498911,30885,176424128,81074783,36559735,34436064,33505559,35341316,36581454,40332402,40742381,44656020,21897789,22713502,32079695,78127519,58024386,162044636,89296855,1436735,25814882,80541120,61049893,52166203,30332656,21586,9299,4394,4138,4082,4365,4607,4669,4630,5208,3242,3171,3888,9084,6292,20440,10224,397,3701,9067,8199,5341,3958
20251,11200520,왕십리2동,CS300002,편의점,718894684,104337,500707508,218187176,98579200,88336315,99920720,96336281,117534992,117375377,100811799,69648209,101600618,89351265,95984039,211622155,150688398,451602078,267292606,9978515,109234947,215756096,117979082,166678056,99267988,74026,30311,14385,13709,14779,14371,16782,16441,13870,10129,15016,14222,14691,29793,20486,64004,40333,2531,19353,34378,15006,19409,13660
20251,11200535,왕십리도선동,CS300002,편의점,2464546177,348335,1708075915,756470262,337669530,314790186,327663533,337513909,390438757,423805843,332664419,399101192,276021006,254669746,280474415,682986159,571293659,1618577972,825707439,17760807,569853129,818308925,410508873,396005299,231848378,244419,103916,48546,44582,47372,49020,54899,56036,47880,51156,47947,41453,42730,93020,72029,224723,122417,3809,88281,115598,53376,51114,34960
20251,11200540,마장동,CS300002,편의점,1682066864,231260,1247344779,434722085,247906212,230138904,237628342,248835757,282835564,232698728,202023357,194314176,270473505,208925891,220301352,466712866,321339074,1159800074,470739176,7826693,241786078,442138624,415616976,324902531,198268350,172495,58765,35046,31462,33812,34333,37842,31870,26895,25153,42868,30555,30927,60561,41196,162538,64499,2028,40844,66351,49307,42014,26495
20251,11200550,사근동,CS300002,편의점,3438494445,738965,2934223531,504270914,611805854,574747907,576794875,592743473,578131422,293345075,210925839,159130575,446213811,1240084080,531010563,749379693,312675723,2175160825,1263333620,78856557,1862189390,688514893,295934912,369692888,143305805,641272,97693,136158,126801,126914,128752,122647,56616,41077,27789,107510,258391,129831,156798,58646,449147,289818,21436,435939,133441,50583,72644,24922
20251,11200560,행당1동,CS300002,편의점,1287080755,235124,930517707,356563048,185195357,163207349,188331890,189522879,204260232,199748635,156814413,130711161,200965434,162854991,205462631,363288852,223797686,803777236,483303519,30229549,274166283,404497774,239872478,200461705,137852966,172721,62403,35336,30080,34627,33979,38699,35427,26976,21239,40625,31839,38891,66531,35999,138847,96277,9943,57154,69397,41814,34070,22746
20251,11200570,행당2동,CS300002,편의점,791532371,118737,559402132,232130239,109746567,101126443,107927539,109928126,130673457,122816866,109313373,56653115,119456142,91474073,121748290,250396397,151804354,510991527,280540844,15320668,95409342,172951237,207424553,157593799,142832772,86516,32221,17470,15941,17314,17181,18610,17005,15216,8943,20759,14359,17985,34655,22036,75115,43622,4904,20437,31610,27475,23026,11285
20251,11200590,금호1가동,CS300002,편의점,358509603,45162,255714888,102794715,50706392,44463094,61685178,42567884,56292340,55526149,47268566,50639344,36842227,35195235,52394177,103543971,79894649,236079197,122430406,4597540,48795587,104033809,88235294,71620614,41226759,33141,12021,6661,6299,7087,6302,6792,6229,5792,5092,5046,5355,7386,13270,9013,28860,16302,1050,7495,12569,10216,8514,5318
20251,11200615,금호2·3가동,CS300002,편의점,846672755,109067,594129136,252543619,125206167,111244635,113773253,117413473,126491608,139029636,113513983,93540179,105915868,103845924,124545949,245544175,173280660,568150312,278522443,4155515,98845329,231399172,194281673,190566702,127424364,77505,31562,15665,14225,15286,15394,16935,16369,15193,10692,18371,13595,15463,30454,20492,71819,37248,1216,16646,33830,22229,21189,13957
20251,11200620,금호4가동,CS300002,편의점,263496069,35952,184511242,78984827,36592706,35394026,35132307,35595616,41796587,38288157,40696670,43602916,27681539,27482757,35551590,70685891,58491376,171685934,91810135,1932455,42588356,75531150,51704711,54906334,36833063,25006,10946,5082,4573,5031,4787,5533,5503,5443,5932,4498,4433,4935,9041,7113,23614,12338,476,7379,9431,6426,7428,4812
20251,11200645,옥수동,CS300002,편의점,223387598,34094,164554428,58833170,31920466,30174372,30477602,32719044,39262944,34816292,24016878,14508737,38642971,25258827,29506070,69777793,45693200,159255193,62187311,1974246,18305988,70198983,52332339,55586709,23044239,25100,8994,4712,4804,5066,5042,5476,5042,3952,2052,6417,4707,4671,9589,6658,22742,11198,564,4293,11020,7358,7168,3536
20251,11200650,성수1가1동,CS300002,편의점,136903664,41067,92279946,44623718,18281530,16940643,17529473,19114410,20413890,23298966,21324752,1638484,25629753,35259155,38826817,25721247,9828208,85499647,49645651,3281506,29304971,38119916,31676121,21836297,10926487,28300,12767,5792,4982,5190,6055,6281,6496,6271,1783,6286,8717,10106,9009,5166,22660,18231,1794,16107,7213,6139,7586,2052
20251,11200660,성수1가2동,CS300002,편의점,1873273707,293665,1538493619,334780088,314400902,288742849,301849393,310598902,322901573,186558701,148221387,123790769,438761730,383694646,273960128,432592645,220473789,1190465217,521961254,5826253,322826705,558229533,381434780,269646190,174463012,244397,49268,48829,45858,48365,49874,51471,26874,22394,14921,79453,64992,43926,61170,29203,183784,96109,1516,63346,97541,53582,39385,24525
20251,11200670,성수2가1동,CS300002,편의점,2797249293,374210,2046435313,750813980,415330375,377927253,404363920,400297138,448516627,412922696,337891284,257008553,481067076,391201796,396403806,788282703,483285359,1811470751,882182501,6002006,345122226,816541149,519579248,611494491,394914133,276780,97430,55351,49652,55799,55852,60126,51660,45770,31597,66785,60453,56094,101367,57914,247848,117837,1173,63978,119003,68410,63952,49174
20251,11200690,성수2가3동,CS300002,편의점,8262300348,1030873,6380260589,1882039759,1283903662,1161823647,1208843746,1300302601,1425386933,1043810738,838229021,265827255,1666510667,1597019158,1656189051,2302288835,774465382,3995378791,3888356477,79337981,2136546856,2503682790,1454737142,1172298545,537131955,844634,186239,166581,157370,162803,174801,183079,103169,83070,38707,308643,217820,165746,218408,81549,582191,420669,9398,252812,349262,180237,143773,67382
20251,11200720,송정동,CS300002,편의점,155331854,21566,112496924,42834930,23167947,20303035,19045548,22653146,27327248,21520745,21314185,24195871,24412414,16348695,20168124,42860891,27345859,105379276,49952578,1026355,38173195,41993482,35608636,20297004,18233182,15686,5880,3402,2812,2948,3210,3314,2852,3028,2972,3722,2644,2972,5470,3786,14141,7425,163,5973,5601,3768,2885,3176
20251,11200790,용답동,CS300002,편의점,2003219176,298241,1483642446,519576730,288510064,272480816,283709133,305391615,333550818,275700582,243876148,180725295,398128518,271256192,262274142,551536320,339298709,1369012836,588553206,6835542,393500504,658267064,380320455,336475400,182167079,222286,75955,43663,41054,43492,46005,48072,40581,35374,23429,69408,42019,39391,78354,45640,201434,92527,1230,68115,98490,50991,48153,26982
20251,11215710,화양동,CS300002,편의점,7258692336,1001962,4980070579,2278621757,972481089,892954163,957556738,1006979039,1150099550,1209278148,1069343609,1051346433,708150987,741214874,928462435,2171924825,1657592782,3859717275,3315091296,148012774,3015413386,1949083565,862913805,845371004,354014036,696347,305615,137317,125241,138698,141198,153893,161698,143917,149365,123925,106108,122783,278233,221548,554832,444344,22163,439508,277172,105691,107629,47017
