집계구코드,주간_평일_평균인구,주간_주말_평균인구,야간_평일_평균인구,야간_주말_평균인구
1101053010001,146.06390727272728,221.12129625000003,32.44968686868686,29.921552777777784
1101053010002,1237.4569209090907,1360.55532125,709.9433535353536,696.0124361111111
1101053010003,1083.3409395454544,1223.0422175,934.3287161616162,925.3156041666667
1101053010004,3005.8142622727273,2413.64255875,643.667096969697,590.6220888888889
1101053010005,1692.8876972727269,1683.7711600000002,505.74961666666667,491.5893750000001
1101053010006,402.0523413636364,420.73143375,328.4175272727273,340.1112430555555
1101053020001,3021.6065454545455,1577.08319375,1432.5052287878787,1277.9512875
1101053020002,24567.866901363635,15177.506006250002,3805.6214313131313,3278.0577263888886
1101053020003,57.93335954545455,63.977492500000004,121.18809949494953,123.55085694444445
1101053020004,3125.5344045454553,2424.0893575,2195.151365151515,2088.132426388889
1101053020301,450.5876004545454,400.9012725,390.3092439393939,390.1376888888888
1101053020302,138.2702518181818,178.52196125000003,107.75257424242423,107.98637777777778
1101053020303,143.51847636363635,161.9022,223.22538686868685,226.9142611111111
1101053020304,373.1852818181819,389.42093625,334.09532222222225,331.83063611111106
1101053020501,8.80823590909091,7.9912262499999995,7.850967525773197,7.579712676056338
1101053020701,771.039440909091,218.94325124999995,162.55327878787878,137.50232361111114
1101053020801,139.32123772727275,70.661535,26.831521717171718,19.865404166666664
1101054010001,4402.361465,3830.15439625,1277.6142,1207.303840277778
1101054010002,3618.0376131818184,2045.98452875,1914.3510010101008,1379.8055666666667
1101054010003,581.4058854545455,527.8962362499999,438.3740404040404,443.7200208333334
1101054010004,996.4286495454543,1129.14166875,522.4004555555556,550.0682750000001
1101054010005,714.162543181818,753.0977487499998,320.55053636363635,472.03486666666663
1101055010001,421.6210022727273,389.16644750000006,312.2043631313131,304.83048333333335
1101055010002,78.33535318181819,72.18262375,255.02951919191923,256.9832583333333
1101055010003,71.73708636363638,60.340797499999994,171.86488737373736,172.98239166666667
1101055010004,3601.9010154545454,1813.0914575000002,1912.7497196969696,1776.372563888889
1101055010005,1192.0323445454546,1162.4281125000002,1388.4529095959595,1335.5564041666667
1101055010006,229.92971999999995,305.11247749999995,432.6550171717172,414.4753597222222
1101055020001,297.5116254545454,337.41253,250.9388111111111,243.00473333333332
1101055020002,362.5310631818181,447.17631124999997,424.8449772727272,428.7754708333333
1101055020003,256.1059040909091,258.38316,728.1425328282829,728.3736444444445
1101055020004,1536.6162450000002,1592.7833825,2154.432266161616,2232.169898611111
1101055020005,50.709896363636375,59.5761825,75.22202424242424,74.74711250000001
1101055020006,169.4651863636364,254.36864500000001,343.063801010101,342.48376249999995
1101055020007,41.08456954545455,47.803553750000006,15.94165606060606,14.770520833333332
1101055020008,536.9433445454546,751.79768375,542.8091484848484,533.0189277777778
1101055020009,421.4327036363636,577.63633875,514.2191005050505,529.6140375
1101055020010,17.886941363636364,15.462287500000002,6.834330136986302,4.773921428571429
1101055020011,186.11629727272725,179.97536750000003,121.27035454545454,116.51375416666666
1101055030001,262.7902381818182,329.91467625000007,192.19640303030306,183.01807083333335
1101055030002,360.85313954545455,490.53265875000005,417.52549949494954,425.29947500000003
1101055030003,921.8759922727273,1227.05833125,716.6124656565656,697.5266861111111
1101056010001,733.9052818181818,896.87819,943.1968949494948,1005.4769375000001
1101056010002,172.61406499999998,202.66728999999998,138.16709141414142,139.78484166666667
1101056010003,702.9898986363635,765.227765,931.221597979798,929.6737194444444
1101056010004,176.8604468181818,208.25752374999996,330.8769585858585,352.94003194444446
1101056010005,273.0806818181818,309.14256,674.3423681818183,619.3929694444445
1101056010006,32.09799636363636,34.04125625,73.15163383838383,72.00449444444445
1101056020001,109.25379227272728,101.27788,187.94507626262626,201.57585000000003
1101056020002,1119.2135100000003,1401.9772725,1387.3703575757575,1380.8504416666667
1101056020003,224.29741863636366,304.3798125,230.41322020202026,243.02914861111108
1101056020004,129.11390045454547,156.75968500000002,296.7132686868686,290.4984958333333
1101056020005,441.47195045454555,575.863755,719.5927005050506,751.9814833333335
1101056020006,615.4789904545455,746.4591200000001,303.2325454545455,295.300725
1101056020007,254.1051059090909,317.14595125,51.732017171717175,47.9419375
1101056020008,75.09014863636362,28.17194625,4.469513775510204,4.545090277777778
1101056020009,574.4325913636363,533.42173125,1168.6011373737376,1168.4319833333334
1101056020010,627.7161986363636,860.7826312499999,600.7725176767677,648.3431875000001
1101056020011,376.6534422727274,419.39183375000005,541.458285858586,561.6368513888888
1101056020012,192.9243113636364,72.5794625,12.5780898989899,9.594416666666666
1101056020013,785.95776,1092.64849625,1021.778809090909,1056.5753166666666
1101056020014,15.777478636363634,12.98595875,9.216339393939394,9.022237500000001
1101056020015,27.164079545454545,29.087458750000003,8.34899595959596,8.544895833333333
1101056020016,49.06498863636363,62.453155,6.814479365079365,6.860038028169014
1101056020017,539.8386104545455,637.60492,1323.602476767677,1321.518126388889
1101056020018,602.3821195454544,842.3254387500001,1308.5366424242422,1267.3611680555555
1101056020019,29.51448954545455,17.741991249999998,3.5822968253968246,3.1991816901408447
1101056020020,10.598433181818184,10.578105,7.902693939393941,7.105804166666667
1101056020021,21.09616954545455,20.1867125,10.15374797979798,9.306844444444444
1101056020022,797.9671272727272,819.0175400000002,221.77292777777782,199.04158055555553
1101056020023,13.423145909090913,12.33502375,4.358056632653062,4.7562194444444446
1101056030001,3347.5830931818186,3873.67079,4196.097745454546,4117.951729166667
1101056030002,873.0208354545455,1039.2190575,1080.0676833333332,1083.3930124999997
1101056030003,28.109357272727276,32.860046249999996,10.015619696969699,9.05662361111111
1101056030004,1527.5844718181816,1949.3897925,1165.9060565656566,1153.9073805555554
1101056030101,291.72090727272723,245.93376874999998,685.3819848484849,670.3000277777778
1101056030401,175.62683409090906,124.03667375,588.4299656565656,594.3786777777777
1101056030601,11.938782272727272,10.96519625,5.699354545454546,4.953520833333333
